"patients_intensive_care","patients_hospitalized","total_patients_hospitalized","home_confinement","positive","positive_variation","new_positive","recovered","death","total_cases","tests_performed","total_people_tested","color","diff_recovered","diff_death","diff_tests_performed","diff_total_people_tested","diff_home_confinement"
247,2692,2939,68366,71305,-537,1569,48931,5874,126110,2156981,1091519,1,2037,69,19676,6319,-500
245,2668,2913,67324,70237,-1068,1766,51674,5959,127870,2174960,1097761,1,2743,85,17979,6242,-1042
248,2717,2965,67091,70056,-181,2143,53931,6022,130009,2192637,1103704,1,2257,63,17677,5943,-233
243,2707,2950,66679,69629,-427,1964,56270,6074,131973,2211300,1109844,1,2339,52,18663,6140,-412
241,2736,2977,65190,68167,-1462,1788,59432,6162,133761,2222471,1115823,4,3162,88,11171,5979,-1489
239,2805,3044,66437,69481,1314,1891,59951,6219,135651,2232336,1119423,4,519,57,9865,3600,1247
234,2781,3015,63507,66522,-2959,1624,64480,6268,137270,2248912,1124534,4,4529,49,16576,5111,-2930
233,2857,3090,62753,65843,-679,1079,66191,6314,138348,2259395,1128691,4,1711,46,10483,4157,-754
229,2845,3074,61643,64717,-1126,1453,68697,6386,139800,2276951,1133307,4,2506,72,17556,4616,-1110
231,2812,3043,61012,64055,-662,1211,70508,6447,141010,2294410,1138536,4,1811,61,17459,5229,-631
222,2813,3035,60937,63972,-83,1807,72315,6529,142816,2312385,1144793,4,1807,82,17975,6257,-75
220,2819,3039,61723,64762,790,1940,73421,6572,144755,2323522,1150185,4,1106,43,11137,5392,786
222,2831,3053,61933,64986,224,1574,74694,6645,146325,2334039,1153725,4,1273,73,10517,3540,210
214,2797,3011,61623,64634,-352,1238,76205,6719,147558,2349809,1157563,4,1511,74,15770,3838,-310
212,2773,2985,59861,62846,-1788,1238,79151,6797,148794,2367376,1162546,4,2946,78,17567,4983,-1762
206,2801,3007,59570,62577,-269,1667,81008,6875,150460,2381673,1167304,4,1857,78,14297,4758,-291
207,2764,2971,59355,62326,-251,1745,82928,6950,152204,2398435,1171966,4,1920,75,16762,4662,-215
206,2819,3025,57924,60949,-1377,1641,85872,7023,153844,2412286,1176780,4,2944,73,13851,4814,-1431
201,2852,3053,57863,60916,-33,1751,87594,7083,155593,2423947,1181400,4,1722,60,11661,4620,-61
203,2914,3117,58937,62054,1138,1594,88011,7120,157185,2431885,1185099,4,417,37,7938,3699,1074
210,2891,3101,56645,59746,-2308,1162,91411,7188,158345,2451777,1189534,4,3400,68,19892,4435,-2292
207,2803,3010,55015,58025,-1721,1129,94188,7259,159472,2469690,1194299,4,2777,71,17913,4765,-1630
201,2718,2919,54380,57299,-726,1692,96529,7335,161163,2485596,1200124,2,2341,76,15906,5825,-635
206,2711,2917,56063,58980,1681,2127,96910,7400,163290,2496457,1204670,2,381,65,10861,4546,1683
214,2630,2844,54443,57287,-1693,1756,100333,7424,165044,2502232,1208257,2,3423,24,5775,3587,-1620
210,2609,2819,55356,58175,888,1283,100659,7493,166327,2508298,1210120,2,326,69,6066,1863,913
220,2642,2862,55436,58298,123,750,101255,7524,167077,2518742,1212763,1,596,31,10444,2643,80
221,2598,2819,53993,56812,-1486,894,103543,7614,167969,2538045,1216598,1,2288,90,19303,3835,-1443
230,2641,2871,53186,56057,-755,1427,105656,7683,169396,2556405,1221526,1,2113,69,18360,4928,-807
233,2629,2862,54484,57346,1289,2116,106428,7738,171512,2572140,1227556,2,772,55,15735,6030,1298
231,2643,2874,53913,56787,-559,2629,109546,7808,174141,2583512,1232042,2,3118,70,11372,4486,-571
229,2649,2878,55628,58506,1719,2035,109818,7846,176170,2588793,1234681,2,272,38,5281,2639,1715
234,2657,2891,53737,56628,-1878,1818,113473,7887,177988,2603180,1239887,2,3655,41,14387,5206,-1891
235,2684,2919,53466,56385,-243,1600,115260,7941,179586,2612313,1242760,1,1787,54,9133,2873,-271
232,2696,2928,54249,57177,792,1506,115907,8005,181089,2628108,1246273,2,647,64,15795,3513,783
236,2665,2901,55168,58069,892,1576,116526,8066,182661,2644635,1252185,2,619,61,16527,5912,919
240,2701,2941,53944,56885,-1184,2228,119874,8130,184889,2654264,1256332,4,3348,64,9629,4147,-1224
245,2691,2936,53912,56848,-37,2026,121855,8210,186913,2669612,1260158,4,1981,80,15348,3826,-32
240,2679,2919,55449,58368,1520,1790,122054,8279,188701,2685079,1264605,1,199,69,15467,4447,1537
237,2705,2942,56966,59908,1540,2193,122647,8337,190892,2695285,1269123,1,593,58,10206,4518,1517
238,2741,2979,58487,61466,1558,1942,122963,8403,192832,2704917,1272633,1,316,66,9632,3510,1521
237,2730,2967,57225,60192,-1274,1563,125749,8454,194395,2721570,1276221,1,2786,51,16653,3588,-1262
229,2679,2908,55072,57980,-2212,1178,129073,8520,195573,2737403,1280780,1,3324,66,15833,4559,-2153
233,2610,2843,53105,55948,-2032,1515,132548,8590,197086,2752436,1285504,1,3475,70,15033,4724,-1967
231,2511,2742,52768,55510,-438,1794,134711,8657,198878,2774816,1289999,1,2163,67,22380,4495,-337
231,2508,2739,52541,55280,-230,1674,136567,8705,200552,2795628,1294547,1,1856,48,20812,4548,-227
234,2529,2763,52068,54831,-449,1437,138411,8746,201988,2810351,1299105,1,1844,41,14723,4558,-473
238,2564,2802,51428,54230,-601,1153,140114,8797,203141,2820331,1301697,1,1703,51,9980,2592,-640
232,2520,2752,50489,53241,-989,1034,142061,8872,204174,2843983,1305531,1,1947,75,23652,3834,-939
230,2490,2720,49859,52579,-662,1090,143747,8935,205261,2864629,1310129,1,1686,63,20646,4598,-630
218,2456,2674,49363,52037,-542,1320,145533,9008,206578,2886578,1314707,1,1786,73,21949,4578,-496
220,2402,2622,48589,51211,-826,1347,147663,9051,207925,2908287,1318796,1,2130,43,21709,4089,-774
217,2390,2607,48125,50732,-479,1310,149419,9084,209235,2932963,1322682,1,1756,33,24676,3886,-464
219,2383,2602,48755,51357,625,1208,149966,9119,210442,2954788,1327963,1,547,35,21825,5281,630
222,2422,2644,48645,51289,-68,1164,151122,9195,211606,2965224,1331075,1,1156,76,10436,3112,-110
220,2293,2513,46629,49142,-2147,993,154178,9270,212590,2989865,1334176,1,3056,75,24641,3101,-2016
210,2281,2491,45615,48106,-1036,923,156088,9307,213501,3013616,1338043,1,1910,37,23751,3867,-1014
209,2242,2451,45088,47539,-567,1265,157852,9363,214754,3042797,1345403,1,1764,56,29181,7360,-527
209,2172,2381,44964,47345,-194,1320,159293,9427,216065,3066158,1349723,1,1441,64,23361,4320,-124
203,2124,2327,44032,46359,-986,1314,161564,9454,217377,3090178,1354289,1,2271,27,24020,4566,-932
206,2112,2318,44550,46868,509,1277,162307,9476,218651,3103697,1357767,1,743,22,13519,3478,518
207,2181,2388,44219,46607,-261,1051,163585,9510,219702,3113966,1360212,4,1278,34,10269,2445,-331
